order_id,order_date,customer_id,city,category,quantity,amount,status
1001,2026-01-05,101,Hyderabad,Electronics,2,1200.0,Completed
1002,2026-01-07,102,Bengaluru,Furniture,1,850.0,Completed
1003,2026-01-10,103,Chennai,Clothing,4,160.0,Shipped
1004,2026-01-12,104,Mumbai,Electronics,1,2200.0,Completed
1005,2026-01-15,105,Delhi,Books,5,125.0,Cancelled
1006,2026-01-18,106,Pune,Groceries,8,240.0,Completed
1007,2026-01-20,107,Hyderabad,Clothing,3,210.0,Pending
1008,2026-01-22,108,Kolkata,Furniture,2,1450.0,Shipped
1009,2026-01-25,109,Bengaluru,Books,6,180.0,Completed
1010,2026-01-27,110,Chennai,Electronics,2,1750.0,Completed
1011,2026-02-01,111,Mumbai,Groceries,10,320.0,Shipped
1012,2026-02-03,112,Delhi,Clothing,2,140.0,Pending
1013,2026-02-05,113,Pune,Electronics,3,3100.0,Completed
1014,2026-02-08,114,Hyderabad,Books,7,210.0,Completed
1015,2026-02-10,115,Kolkata,Furniture,1,700.0,Cancelled
1016,2026-02-13,116,Bengaluru,Groceries,12,410.0,Completed
1017,2026-02-15,117,Chennai,Clothing,5,275.0,Shipped
1018,2026-02-18,118,Mumbai,Electronics,1,1950.0,Pending
1019,2026-02-20,119,Delhi,Books,3,95.0,Completed
1020,2026-02-22,120,Pune,Furniture,2,1100.0,Shipped
1021,2026-02-25,121,Hyderabad,Groceries,9,290.0,Completed
1022,2026-02-27,122,Kolkata,Clothing,4,230.0,Cancelled
1023,2026-03-01,123,Bengaluru,Electronics,2,2600.0,Completed
1024,2026-03-03,124,Chennai,Furniture,1,900.0,Pending
1025,2026-03-05,125,Mumbai,Books,8,240.0,Shipped
1026,2026-03-08,126,Delhi,Groceries,6,195.0,Completed
1027,2026-03-10,127,Pune,Clothing,3,180.0,Completed
1028,2026-03-12,128,Hyderabad,Electronics,4,4200.0,Shipped
1029,2026-03-15,129,Kolkata,Books,2,70.0,Pending
1030,2026-03-18,130,Bengaluru,Furniture,3,1650.0,Completed
